,round,game_index,date,home_team,away_team,minute,team,teamId,isHome,eloTeam,player,playerId,position,rating,keeper,keeperRating,opponent,eloOpponent,x,y,distance,angle,goal_difference,situation,body_part,goal,xg
28,1,0,15/08/2025,Liverpool FC,Bournemouth,3,Liverpool FC,44,True,1997,Hugo Ekitiké,1048422,F,77,Đorđe Petrović,80,Bournemouth,1808,23.2,31.3,26,28,0,assisted,strongFoot,0,0.020936110988259
27,1,0,15/08/2025,Liverpool FC,Bournemouth,4,Liverpool FC,44,True,1997,Mohamed Salah,159665,M,87,Đorđe Petrović,80,Bournemouth,1808,14.4,68.7,19,41,0,assisted,strongFoot,0,0.024876914918423
26,1,0,15/08/2025,Liverpool FC,Bournemouth,5,Liverpool FC,44,True,1997,Virgil van Dijk,151545,D,60,Đorđe Petrović,80,Bournemouth,1808,8.6,49.5,8,2,0,corner,head,0,0.12759804725647
25,1,0,15/08/2025,Liverpool FC,Bournemouth,6,Bournemouth,60,False,1808,Antoine Semenyo,934354,M,77,Alisson,89,Liverpool FC,1997,8.9,55.0,9,20,0,assisted,strongFoot,0,0.24428187310696
24,1,0,15/08/2025,Liverpool FC,Bournemouth,10,Bournemouth,60,False,1808,Evanilson,998490,F,78,Alisson,89,Liverpool FC,1997,5.1,58.9,7,49,0,corner,head,0,0.10576315224171
23,1,0,15/08/2025,Liverpool FC,Bournemouth,31,Liverpool FC,44,True,1997,Virgil van Dijk,151545,D,60,Đorđe Petrović,80,Bournemouth,1808,8.8,46.8,9,13,0,corner,head,0,0.050451427698135
22,1,0,15/08/2025,Liverpool FC,Bournemouth,35,Bournemouth,60,False,1808,Marcus Tavernier,895576,M,73,Alisson,89,Liverpool FC,1997,13.0,47.9,13,6,0,assisted,weakFoot,0,0.28319209814072
21,1,0,15/08/2025,Liverpool FC,Bournemouth,37,Liverpool FC,44,True,1997,Hugo Ekitiké,1048422,F,77,Đorđe Petrović,80,Bournemouth,1808,10.9,47.6,11,8,0,assisted,strongFoot,1,0.54871892929077
20,1,0,15/08/2025,Liverpool FC,Bournemouth,39,Liverpool FC,44,True,1997,Hugo Ekitiké,1048422,F,77,Đorđe Petrović,80,Bournemouth,1808,5.8,51.7,5,11,1,assisted,head,0,0.33906000852585
19,1,0,15/08/2025,Liverpool FC,Bournemouth,42,Bournemouth,60,False,1808,David Brooks,855731,M,68,Alisson,89,Liverpool FC,1997,14.5,31.5,19,40,-1,regular,weakFoot,0,0.025394402444363
18,1,0,15/08/2025,Liverpool FC,Bournemouth,45,Bournemouth,60,False,1808,Marcus Tavernier,895576,M,73,Alisson,89,Liverpool FC,1997,24.6,67.9,27,26,-1,free-kick,strongFoot,0,0.036722358316183
17,1,0,15/08/2025,Liverpool FC,Bournemouth,45,Liverpool FC,44,True,1997,Mohamed Salah,159665,M,87,Đorđe Petrović,80,Bournemouth,1808,15.0,57.3,15,18,1,fast-break,strongFoot,0,0.12725938856602
16,1,0,15/08/2025,Liverpool FC,Bournemouth,45,Bournemouth,60,False,1808,Evanilson,998490,F,78,Alisson,89,Liverpool FC,1997,12.3,34.4,16,40,-1,fast-break,strongFoot,0,0.11539140343666
15,1,0,15/08/2025,Liverpool FC,Bournemouth,47,Liverpool FC,44,True,1997,Hugo Ekitiké,1048422,F,77,Đorđe Petrović,80,Bournemouth,1808,3.9,47.9,4,20,1,corner,other,0,0.22713312506676
14,1,0,15/08/2025,Liverpool FC,Bournemouth,49,Liverpool FC,44,True,1997,Cody Gakpo,862967,M,81,Đorđe Petrović,80,Bournemouth,1808,14.9,50.8,14,2,1,assisted,strongFoot,1,0.12170810997486
13,1,0,15/08/2025,Liverpool FC,Bournemouth,52,Liverpool FC,44,True,1997,Alexis Mac Allister,895324,M,82,Đorđe Petrović,80,Bournemouth,1808,24.0,65.2,26,23,2,assisted,strongFoot,0,0.031858082860708
12,1,0,15/08/2025,Liverpool FC,Bournemouth,53,Liverpool FC,44,True,1997,Jeremie Frimpong,970361,D,60,Đorđe Petrović,80,Bournemouth,1808,24.6,62.8,26,19,2,corner,strongFoot,0,0.0080814622342587
11,1,0,15/08/2025,Liverpool FC,Bournemouth,54,Liverpool FC,44,True,1997,Dominik Szoboszlai,869856,M,81,Đorđe Petrović,80,Bournemouth,1808,29.1,44.3,29,7,2,regular,strongFoot,0,0.0086938114836812
10,1,0,15/08/2025,Liverpool FC,Bournemouth,63,Liverpool FC,44,True,1997,Florian Wirtz,1019322,M,81,Đorđe Petrović,80,Bournemouth,1808,16.0,54.2,16,10,2,assisted,strongFoot,0,0.1442085057497
9,1,0,15/08/2025,Liverpool FC,Bournemouth,64,Bournemouth,60,False,1808,Antoine Semenyo,934354,M,77,Alisson,89,Liverpool FC,1997,9.2,48.7,9,5,-2,fast-break,weakFoot,1,0.45479112863541
8,1,0,15/08/2025,Liverpool FC,Bournemouth,70,Liverpool FC,44,True,1997,Cody Gakpo,862967,M,81,Đorđe Petrović,80,Bournemouth,1808,14.8,23.9,23,50,1,assisted,strongFoot,0,0.026656841859221
7,1,0,15/08/2025,Liverpool FC,Bournemouth,71,Bournemouth,60,False,1808,David Brooks,855731,M,68,Alisson,89,Liverpool FC,1997,9.1,38.9,11,39,-1,assisted,strongFoot,0,0.16026094555855
6,1,0,15/08/2025,Liverpool FC,Bournemouth,71,Bournemouth,60,False,1808,Evanilson,998490,F,78,Alisson,89,Liverpool FC,1997,8.8,40.5,10,36,-1,assisted,head,0,0.064950354397297
5,1,0,15/08/2025,Liverpool FC,Bournemouth,76,Bournemouth,60,False,1808,Antoine Semenyo,934354,M,77,Alisson,89,Liverpool FC,1997,17.5,51.7,17,3,-1,fast-break,weakFoot,1,0.20790182054043
4,1,0,15/08/2025,Liverpool FC,Bournemouth,80,Liverpool FC,44,True,1997,Dominik Szoboszlai,869856,M,81,Đorđe Petrović,80,Bournemouth,1808,14.5,55.8,15,15,0,assisted,weakFoot,0,0.067798927426338
3,1,0,15/08/2025,Liverpool FC,Bournemouth,81,Liverpool FC,44,True,1997,Dominik Szoboszlai,869856,M,81,Đorđe Petrović,80,Bournemouth,1808,13.5,66.4,17,39,0,throw-in-set-piece,strongFoot,0,0.0200174767524
2,1,0,15/08/2025,Liverpool FC,Bournemouth,88,Liverpool FC,44,True,1997,Cody Gakpo,862967,M,81,Đorđe Petrović,80,Bournemouth,1808,8.9,38.9,11,40,0,set-piece,strongFoot,0,0.049230437725782
1,1,0,15/08/2025,Liverpool FC,Bournemouth,88,Liverpool FC,44,True,1997,Federico Chiesa,845386,F,79,Đorđe Petrović,80,Bournemouth,1808,10.2,46.6,10,12,0,regular,strongFoot,1,0.15560556948185
0,1,0,15/08/2025,Liverpool FC,Bournemouth,90,Liverpool FC,44,True,1997,Mohamed Salah,159665,M,87,Đorđe Petrović,80,Bournemouth,1808,10.1,38.7,12,37,1,fast-break,weakFoot,1,0.10993491113186
18,1,1,16/08/2025,Aston Villa,Newcastle United,3,Newcastle United,39,False,1870,Anthony Elanga,979232,F,71,Marco Bizot,78,Aston Villa,1871,13.2,56.7,13,19,0,fast-break,strongFoot,0,0.48299461603165
17,1,1,16/08/2025,Aston Villa,Newcastle United,3,Newcastle United,39,False,1870,Anthony Gordon,914902,F,78,Marco Bizot,78,Aston Villa,1871,14.1,33.3,18,38,0,regular,strongFoot,0,0.044259462505579
16,1,1,16/08/2025,Aston Villa,Newcastle United,8,Newcastle United,39,False,1870,Anthony Gordon,914902,F,78,Marco Bizot,78,Aston Villa,1871,15.2,38.3,17,27,0,set-piece,strongFoot,0,0.014796512201428
15,1,1,16/08/2025,Aston Villa,Newcastle United,11,Newcastle United,39,False,1870,Anthony Gordon,914902,F,78,Marco Bizot,78,Aston Villa,1871,7.0,53.0,7,16,0,assisted,head,0,0.35785120725632
14,1,1,16/08/2025,Aston Villa,Newcastle United,13,Newcastle United,39,False,1870,Anthony Elanga,979232,F,71,Marco Bizot,78,Aston Villa,1871,8.8,63.8,12,46,0,assisted,strongFoot,0,0.090786837041378
13,1,1,16/08/2025,Aston Villa,Newcastle United,16,Newcastle United,39,False,1870,Anthony Gordon,914902,F,78,Marco Bizot,78,Aston Villa,1871,21.6,38.7,22,19,0,set-piece,strongFoot,0,0.020044842734933
12,1,1,16/08/2025,Aston Villa,Newcastle United,27,Newcastle United,39,False,1870,Anthony Gordon,914902,F,78,Marco Bizot,78,Aston Villa,1871,15.1,34.9,18,34,0,fast-break,strongFoot,0,0.078614763915539
11,1,1,16/08/2025,Aston Villa,Newcastle United,28,Newcastle United,39,False,1870,Fabian Schär,101882,D,68,Marco Bizot,78,Aston Villa,1871,26.2,65.4,28,21,0,assisted,strongFoot,0,0.017713874578476
10,1,1,16/08/2025,Aston Villa,Newcastle United,47,Aston Villa,40,True,1871,Boubacar Kamara,826204,M,53,Nick Pope,81,Newcastle United,1870,9.9,52.7,10,10,0,corner,head,0,0.052780613303185
9,1,1,16/08/2025,Aston Villa,Newcastle United,65,Aston Villa,40,True,1871,Ollie Watkins,555386,F,82,Nick Pope,81,Newcastle United,1870,14.7,55.4,15,14,0,assisted,weakFoot,0,0.12068792432547
8,1,1,16/08/2025,Aston Villa,Newcastle United,68,Newcastle United,39,False,1870,Fabian Schär,101882,D,68,Marco Bizot,78,Aston Villa,1871,23.7,54.5,23,7,0,set-piece,strongFoot,0,0.018773447722197
7,1,1,16/08/2025,Aston Villa,Newcastle United,72,Newcastle United,39,False,1870,Anthony Gordon,914902,F,78,Marco Bizot,78,Aston Villa,1871,32.3,40.7,32,11,0,corner,strongFoot,0,0.013164849020541
6,1,1,16/08/2025,Aston Villa,Newcastle United,73,Newcastle United,39,False,1870,Harvey Barnes,855647,F,79,Marco Bizot,78,Aston Villa,1871,10.2,39.1,12,36,0,assisted,strongFoot,0,0.11390551179647
5,1,1,16/08/2025,Aston Villa,Newcastle United,77,Newcastle United,39,False,1870,Harvey Barnes,855647,F,79,Marco Bizot,78,Aston Villa,1871,18.7,54.0,18,8,0,assisted,strongFoot,0,0.079918473958969
4,1,1,16/08/2025,Aston Villa,Newcastle United,87,Aston Villa,40,True,1871,Donyell Malen,803039,F,78,Nick Pope,81,Newcastle United,1870,8.2,72.4,17,61,0,fast-break,strongFoot,0,0.030174758285284
3,1,1,16/08/2025,Aston Villa,Newcastle United,88,Newcastle United,39,False,1870,Harvey Barnes,855647,F,79,Marco Bizot,78,Aston Villa,1871,16.4,32.3,20,36,0,assisted,strongFoot,0,0.038165256381035
2,1,1,16/08/2025,Aston Villa,Newcastle United,90,Newcastle United,39,False,1870,Anthony Gordon,914902,F,78,Marco Bizot,78,Aston Villa,1871,27.8,46.4,27,5,0,assisted,strongFoot,0,0.019288873299956
1,1,1,16/08/2025,Aston Villa,Newcastle United,90,Newcastle United,39,False,1870,William Osula,1122603,F,65,Marco Bizot,78,Aston Villa,1871,16.4,68.2,20,37,0,assisted,weakFoot,0,0.034816846251488
0,1,1,16/08/2025,Aston Villa,Newcastle United,90,Newcastle United,39,False,1870,Fabian Schär,101882,D,68,Marco Bizot,78,Aston Villa,1871,64.5,69.1,65,11,0,assisted,strongFoot,0,0.0073868301697075
16,1,2,16/08/2025,Brighton & Hove Albion,Fulham,2,Fulham,43,False,1781,Raúl Jiménez,192442,F,-100,Bart Verbruggen,-100,Brighton & Hove Albion,1824,7.0,35.6,12,54,0,assisted,weakFoot,0,0.12717108428478
15,1,2,16/08/2025,Brighton & Hove Albion,Fulham,14,Brighton & Hove Albion,30,True,1824,Carlos Baleba,1199043,M,69,Bernd Leno,-100,Fulham,1781,26.0,53.6,26,5,0,regular,weakFoot,0,0.015912730246782
14,1,2,16/08/2025,Brighton & Hove Albion,Fulham,26,Brighton & Hove Albion,30,True,1824,Georginio Rutter,946695,M,-100,Bernd Leno,-100,Fulham,1781,25.0,36.8,26,19,0,assisted,weakFoot,0,0.031263016164303
13,1,2,16/08/2025,Brighton & Hove Albion,Fulham,28,Brighton & Hove Albion,30,True,1824,Kaoru Mitoma,936849,M,-100,Bernd Leno,-100,Fulham,1781,6.7,40.3,9,44,0,assisted,head,0,0.070709362626076
12,1,2,16/08/2025,Brighton & Hove Albion,Fulham,38,Brighton & Hove Albion,30,True,1824,Georginio Rutter,946695,M,-100,Bernd Leno,-100,Fulham,1781,20.4,55.1,20,9,0,assisted,strongFoot,0,0.034548446536064
11,1,2,16/08/2025,Brighton & Hove Albion,Fulham,43,Brighton & Hove Albion,30,True,1824,Mats Wieffer,959628,D,-100,Bernd Leno,-100,Fulham,1781,11.0,57.7,12,25,0,set-piece,head,0,0.020050533115864
10,1,2,16/08/2025,Brighton & Hove Albion,Fulham,43,Fulham,43,False,1781,Harry Wilson,355528,M,-100,Bart Verbruggen,-100,Brighton & Hove Albion,1824,3.4,61.5,8,66,0,assisted,head,0,0.069691479206085
9,1,2,16/08/2025,Brighton & Hove Albion,Fulham,48,Fulham,43,False,1781,Joshua King,1546231,M,-100,Bart Verbruggen,-100,Brighton & Hove Albion,1824,3.9,35.6,10,68,0,assisted,weakFoot,0,0.17678852379322
8,1,2,16/08/2025,Brighton & Hove Albion,Fulham,48,Fulham,43,False,1781,Raúl Jiménez,192442,F,-100,Bart Verbruggen,-100,Brighton & Hove Albion,1824,2.4,42.5,5,64,0,regular,strongFoot,0,0.16306081414223
7,1,2,16/08/2025,Brighton & Hove Albion,Fulham,55,Brighton & Hove Albion,30,True,1824,Matt O'Riley,891829,M,-100,Bernd Leno,-100,Fulham,1781,11.5,50.0,11,0,0,penalty,strongFoot,1,0.7884
6,1,2,16/08/2025,Brighton & Hove Albion,Fulham,58,Fulham,43,False,1781,Alex Iwobi,352770,M,-100,Bart Verbruggen,-100,Brighton & Hove Albion,1824,26.1,23.5,31,34,-1,assisted,strongFoot,0,0.010763050988317
5,1,2,16/08/2025,Brighton & Hove Albion,Fulham,65,Brighton & Hove Albion,30,True,1824,Yankuba Minteh,1400106,M,66,Bernd Leno,-100,Fulham,1781,10.3,59.8,12,32,1,fast-break,strongFoot,0,0.084989681839943
4,1,2,16/08/2025,Brighton & Hove Albion,Fulham,76,Brighton & Hove Albion,30,True,1824,Diego Gómez,1065588,M,-100,Bernd Leno,-100,Fulham,1781,25.1,54.0,25,6,1,assisted,strongFoot,0,0.028155719861388
3,1,2,16/08/2025,Brighton & Hove Albion,Fulham,87,Brighton & Hove Albion,30,True,1824,Lewis Dunk,115365,D,-100,Bernd Leno,-100,Fulham,1781,3.8,41.3,7,57,1,corner,head,0,0.093379385769367
2,1,2,16/08/2025,Brighton & Hove Albion,Fulham,89,Brighton & Hove Albion,30,True,1824,Brajan Gruda,1198075,M,-100,Bernd Leno,-100,Fulham,1781,8.1,63.9,12,49,1,assisted,weakFoot,0,0.30918180942535
1,1,2,16/08/2025,Brighton & Hove Albion,Fulham,90,Fulham,43,False,1781,Emile Smith Rowe,867445,M,-100,Bart Verbruggen,-100,Brighton & Hove Albion,1824,20.3,43.0,20,13,-1,assisted,strongFoot,0,0.088168188929558
0,1,2,16/08/2025,Brighton & Hove Albion,Fulham,90,Fulham,43,False,1781,Rodrigo Muniz,1015256,F,-100,Bart Verbruggen,-100,Brighton & Hove Albion,1824,5.1,42.1,7,46,-1,corner,weakFoot,1,0.15349671244621
