league,season,team,teamId
ita,2526,Inter,44
ita,2526,Napoli,48
ita,2526,AC Milan,47
ita,2526,Juventus,45
ita,2526,Roma,52
ita,2526,Atalanta,39
ita,2526,Lazio,46
ita,2526,Como,1745
ita,2526,Fiorentina,110374
ita,2526,Bologna,189
ita,2526,Torino,54
ita,2526,Sassuolo,111974
ita,2526,Cremonese,111434
ita,2526,Genoa,110556
ita,2526,Parma,50
ita,2526,Cagliari,1842
ita,2526,Hellas Verona,206
ita,2526,Udinese,55
ita,2526,Pisa,110738
ita,2526,Lecce,347
eng,2526,Arsenal,1
eng,2526,Liverpool,9
eng,2526,Manchester City,10
eng,2526,Aston Villa,2
eng,2526,Chelsea,5
eng,2526,Newcastle United,13
eng,2526,Tottenham Hotspur,18
eng,2526,Manchester United,11
eng,2526,Nottingham Forest,14
eng,2526,Crystal Palace,1799
eng,2526,AFC Bournemouth,1943
eng,2526,Brentford,1925
eng,2526,Brighton,1808
eng,2526,Fulham,144
eng,2526,Everton,7
eng,2526,Sunderland,106
eng,2526,West Ham,19
eng,2526,Leeds,8
eng,2526,Wolverhampton,110
eng,2526,Burnley,1796
ita,2425,Inter,44
ita,2425,Napoli,48
ita,2425,AC Milan,47
ita,2425,Juventus,45
ita,2425,Roma,52
ita,2425,Atalanta,39
ita,2425,Lazio,46
ita,2425,Como,1745
ita,2425,Fiorentina,110374
ita,2425,Bologna,189
ita,2425,Torino,54
ita,2425,Lecce,347
ita,2425,Monza,111811
ita,2425,Genoa,110556
ita,2425,Parma,50
ita,2425,Cagliari,1842
ita,2425,Hellas Verona,206
ita,2425,Udinese,55
ita,2425,Empoli,1746
ita,2425,Venezia,205
ita,2324,Inter,44
ita,2324,Napoli,48
ita,2324,AC Milan,47
ita,2324,Juventus,45
ita,2324,Roma,52
ita,2324,Atalanta,39
ita,2324,Lazio,46
ita,2324,Fiorentina,110374
ita,2324,Bologna,189
ita,2324,Torino,54
ita,2324,Lecce,347
ita,2324,Monza,111811
ita,2324,Genoa,110556
ita,2324,Cagliari,1842
ita,2324,Hellas Verona,206
ita,2324,Udinese,55
ita,2324,Empoli,1746
ita,2324,Salernitana,110373
ita,2324,Frosinone,111657
ita,2324,Sassuolo,111974