player,playerID
Emil Audero,228413
Ionuț Radu,234102
Luís Maximiano,244316
Luigi Sepe,191011
Rui Patrício,178005
Andrea Consigli,163489
Bartłomiej Drągowski,215502
Marco Carnesecchi,252154
Devis Vásquez,233189
Semuel Pizzignacco,268875
Zion Suzuki,255981
Pepe Reina,24630
Jesse Joronen,199904
Elia Caprile,255303
Stefano Turati,254502
Josep Martínez,243311
Yann Sommer,177683
Boris Radunović,231073
Jean Butez,225149
Thomas Kaminski,188400
Wesley Foderingham,193182
Mark Flekken,211738
Guglielmo Vicario,240091
Robert Sánchez,228789
André Onana,226753
José Sá,212442
Odysseas Vlachodimos,211990
Christian Walton,206561
Alex McCarthy,189324
Mads Hermansen,246158
Marvin Schwäbe,224041
André Ferreira,244020
Antonio Sivera,222464
Jesús Owono,265405
Rui Silva,210385
Fernando Martínez,205288
Iñaki Peña,246139
Dani Cárdenas,236033
Diego Mariño,199493
Bono,209981
Marcel Schuhen,209987
Álvaro Valles,246657
Ivo Grbić,258390
Jeremías Ledesma,219522
Joan García,259532
Jasper Cillessen,199987
Karl Hein,248732
Marko Dmitrović,227290
Diego Conde,258534
Luiz Júnior,258885
Alex Padilla,271034
Juan Soriano,234790
Francisco Vieites,243587
Álex Remiro,227127
Raúl Fernández,186680
Kevin Müller,202873
Alexander Nübel,223885
Hákon Rafn Valdimarsson,264133
Kauã Santos,277929
Arthur Desmas,229542
Alexandre Oukidja,176772
Matz Sels,199641
Philipp Köhn,239364
Jonas Omlin,223550
Léo Jardim,226085
Lucas Perri,230670
Yahia Fofana,242179
Gautier Larsonneur,230727
Gerónimo Rulli,215316
Donovan Léon,205377
Karl-Johan Johnsson,190120
Alex Palmer,223909
Alessandro Sorentino,271146
Antonin Kinsky,73580
Danny Ward,207998
Wilfredo Caballero,139062
Antonio Adan,178086
Beto,182629
German Dario Lux,138798
Ivan Cuellar,146952
Javi Varas,172684
Tono,138507
Xabi Irureta,203688
Alberto Garcia,186681
Daniel Gimenez,146637
Alban Lafont,231691
Ludovic Butelle,49472
Paul Andre Guerin,226435
Andres Fernandez,146296
Mike Maignan,215698
Dorde Petrovic,269626
Alisson,212831
Nick Pope,203841
Marco Bizot,200110
Lukasz Skorupski,189908
Mile Svilar,230872
Arijanet Muric,233164
Justin Bijlow,232229
Juan Musso,214979
Jacopo Seghetti,278356
Lorenzo Montipo,215363